NODE_ID,NODE_X,NODE_Y,NODE_NAME,NODE_WKTPOINT,NODE_LABEL,IATA,ICAO,CITY,COUNTRY
1,145.391998291,-6.081689834590001,GKA: Goroka Airport,POINT(145.391998291 -6.081689834590001),"GKA: Goroka Airport; Goroka, Papua New Guinea",GKA,AYGA,Goroka,Papua New Guinea
2,145.789001465,-5.20707988739,MAG: Madang Airport,POINT(145.789001465 -5.20707988739),"MAG: Madang Airport; Madang, Papua New Guinea",MAG,AYMD,Madang,Papua New Guinea
3,144.29600524902344,-5.826789855957031,HGU: Mount Hagen Kagamuga Airport,POINT(144.29600524902344 -5.826789855957031),"HGU: Mount Hagen Kagamuga Airport; Mount Hagen, Papua New Guinea",HGU,AYMH,Mount Hagen,Papua New Guinea
4,146.725977,-6.569803,LAE: Nadzab Airport,POINT(146.725977 -6.569803),"LAE: Nadzab Airport; Nadzab, Papua New Guinea",LAE,AYNZ,Nadzab,Papua New Guinea
5,147.22000122070312,-9.443380355834961,POM: Port Moresby Jacksons International Airport,POINT(147.22000122070312 -9.443380355834961),"POM: Port Moresby Jacksons International Airport; Port Moresby, Papua New Guinea",POM,AYPY,Port Moresby,Papua New Guinea
6,143.669006348,-3.58383011818,WWK: Wewak International Airport,POINT(143.669006348 -3.58383011818),"WWK: Wewak International Airport; Wewak, Papua New Guinea",WWK,AYWK,Wewak,Papua New Guinea
7,-45.4259986877,61.1604995728,UAK: Narsarsuaq Airport,POINT(-45.4259986877 61.1604995728),"UAK: Narsarsuaq Airport; Narssarssuaq, Greenland",UAK,BGBW,Narssarssuaq,Greenland
8,-51.6781005859,64.19090271,GOH: Godthaab / Nuuk Airport,POINT(-51.6781005859 64.19090271),"GOH: Godthaab / Nuuk Airport; Godthaab, Greenland",GOH,BGGH,Godthaab,Greenland
9,-50.7116031647,67.0122218992,SFJ: Kangerlussuaq Airport,POINT(-50.7116031647 67.0122218992),"SFJ: Kangerlussuaq Airport; Sondrestrom, Greenland",SFJ,BGSF,Sondrestrom,Greenland
10,-68.7032012939,76.5311965942,THU: Thule Air Base,POINT(-68.7032012939 76.5311965942),"THU: Thule Air Base; Thule, Greenland",THU,BGTL,Thule,Greenland
11,-18.07270050048828,65.66000366210938,AEY: Akureyri Airport,POINT(-18.07270050048828 65.66000366210938),"AEY: Akureyri Airport; Akureyri, Iceland",AEY,BIAR,Akureyri,Iceland
12,-14.401399612426758,65.2833023071289,EGS: Egilsstaðir Airport,POINT(-14.401399612426758 65.2833023071289),"EGS: Egilsstaðir Airport; Egilsstadir, Iceland",EGS,BIEG,Egilsstadir,Iceland
13,-15.2272,64.295601,HFN: Hornafjörður Airport,POINT(-15.2272 64.295601),"HFN: Hornafjörður Airport; Hofn, Iceland",HFN,BIHN,Hofn,Iceland
14,-17.426001,65.952301,HZK: Húsavík Airport,POINT(-17.426001 65.952301),"HZK: Húsavík Airport; Husavik, Iceland",HZK,BIHU,Husavik,Iceland
