COVID-19 Vaccinations in the United States
Date generated: Fri Jun 11 2021 09:21:54 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,819205,111983,148525,625893,85558,599096,108618,343730,47,326559,59.2,296184,40.5,286395,51.9,409305,351200,58700,0,22217,271430,332149,97,125561,149951,20640,32,125237,140583,20545,30,275544,47,326559,59.2,37.7,265850,48.2,343730,73617,80.4,69044,75.4,39267,27579,2182,16,138689,151427,894446,342945,56.3,295952,48.6,125559,149723,20638,32,624884,102629,134544
Alabama,4648150,94799,121843,3064250,62495,3030315,79434,1787017,36.4,1763781,46.2,1460230,29.8,1448655,38,2266290,2100760,281100,0,101951,1477439,1484860,0,665527,690375,104232,96,665335,679039,104185,96,1355998,36.4,1763781,46.2,27.7,1344470,35.2,1787017,648372,76.3,558762,65.7,297120,232544,29038,60,1155928,136018,546946,1786712,42.7,1460205,34.9,665519,690362,104228,96,3063946,73180,111017
Arkansas,2793200,92557,120519,2130617,70602,2074897,89526,1218544,40.4,1180674,50.9,969859,32.1,951656,41.1,1364220,1250180,178800,0,71392,1000797,1057852,576,447408,452702,69605,144,446646,435627,69247,136,900254,40.4,1180674,50.9,29.8,882409,38.1,1218544,400507,76.4,336178,64.2,194740,130281,11069,88,728512,139060,533174,1215876,47.5,969363,37.9,447404,452319,69496,144,2127528,83196,109227
American Samoa,54030,97021,124387,43401,77935,41717,96040,23982,43.1,22968,52.9,19591,35.2,18924,43.6,37830,15600,600,0,38,10594,32769,0,4587,14958,46,0,4574,14304,46,0,19545,43.1,22968,52.9,35.1,18878,43.5,23982,2580,27.3,2311,24.4,924,1380,7,0,4802,50724,570719,23981,50.4,19590,41.2,4586,14958,46,0,43399,91257,113611
Arizona,7905885,108616,140213,6122967,84122,5920277,104998,3445917,47.3,3312046,58.7,2709020,37.2,2645289,46.9,4187625,3287360,430900,0,197881,2662753,3257437,4896,1132272,1384532,190612,1604,1131979,1321215,190500,1595,2518408,47.3,3312046,58.7,34.6,2454789,43.5,3445917,1083569,82.8,911550,69.7,450630,424446,35515,959,2042132,156051,604133,3445530,55.5,2708937,43.6,1132259,1384498,190576,1604,6122506,98654,127390
Bureau of Prisons,196310,N/A,N/A,186002,N/A,186001,N/A,101962,N/A,101961,N/A,90041,N/A,90041,N/A,104130,81580,10600,0,6971,75630,103401,0,34635,48469,6937,0,34635,48469,6937,0,83104,N/A,101961,N/A,0,83104,0,101962,3261,0,2992,0,1453,1453,86,0,6204,0,0,101961,0,90041,0,34635,48469,6937,0,186001,0,0
California,48112680,121767,157141,39765872,100642,38017076,124167,23038863,58.3,21867810,71.4,17903416,45.3,17320849,56.6,25864800,19632880,2615000,0,1411794,16584234,21764345,5499,7212532,9289395,1399912,1577,7192610,8732683,1394018,1538,16503504,58.3,21867810,71.4,41.8,15926831,52,23038863,5341807,91.5,4274457,73.2,2199286,1929405,145137,629,9556400,163690,824113,22986822,68.3,17890719,53.2,7212143,9277359,1399641,1576,39701197,117996,142996
Colorado,6862750,119171,152532,5805820,100818,5548982,123332,3203037,55.6,3033678,67.4,2728692,47.4,2641065,58.7,3696810,2825640,340300,0,203840,2481649,3117543,2788,1138106,1388690,201010,886,1135175,1304905,200106,879,2527682,55.6,3033678,67.4,43.9,2440959,54.3,3203037,728043,86.4,656485,77.9,326524,311303,18380,278,1391545,165186,814655,3194923,64.7,2726659,55.2,1138094,1386688,200991,886,5795638,117414,139033
Connecticut,4625815,129746,163004,4171732,117010,3969169,139866,2306716,64.7,2179797,76.8,1999526,56.1,1927856,67.9,2497755,1878160,249900,0,162605,1636417,2372300,410,761193,1075818,162403,112,760848,1004640,162268,100,1837123,64.7,2179797,76.8,51.5,1765588,62.2,2306716,592597,94,549319,87.2,216985,315592,16714,28,1138799,180692,733972,2305538,74.2,1999120,64.4,760993,1075681,162334,112,4170187,134265,148934
District of Columbia,1049605,148722,181724,809582,114712,796314,137871,411039,58.2,400698,69.4,338846,48,334332,57.9,578565,416640,54400,0,25544,320404,463403,231,130157,179447,29077,165,130122,174988,29059,163,309769,58.2,400698,69.4,43.9,305273,52.9,411039,72707,83.2,63921,73.2,36277,25616,2007,21,164557,188403,1201710,410966,67.4,338827,55.6,130153,179434,29075,165,809511,132760,172136
Dept of Defense,4358990,N/A,N/A,3802101,N/A,3719207,N/A,2236843,N/A,2171626,N/A,1599994,N/A,1582728,N/A,2355990,1816800,186200,0,129245,1613533,2058924,399,640415,833252,126327,0,640338,816100,126290,0,1473667,N/A,2171626,N/A,0,1456438,0,2236843,177872,0,129756,0,46623,77915,5218,0,316720,0,0,2234377,0,1599884,0,640392,833180,126312,0,3799539,0,0
